Employee ID,First Name,Last Name,Gender,State,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary,Birth Date,Termination Date,Adjusted Salary
E000020,Olivia,Munoz,Male,California,San Francisco,2020-05-09 13:43:01.238480288,Sales,Sales Associate,Associate's,Excellent,No,42001,1976-05-09 13:43:01.238480288,2021-10-10 05:51:16.738322200,44983.071
E000021,Kathy,Lewis,Female,Texas,Austin,2021-11-15 15:43:15.846030656,Engineering,Senior Software Engineer,Master's,Needs Improvement,Yes,127375,1998-11-15 15:43:15.846030656,,140112.5
E000022,David,Martin,Male,California,San Diego,2015-10-15 21:14:29.730268848,Finance,Finance Manager,Master's,Excellent,No,90671,1959-10-15 21:14:29.730268848,,106819.50510000001
E000023,Katherine,Marquez,Male,California,San Diego,2023-12-11 20:39:48.545738944,Engineering,Software Engineer,Bachelor's,Good,Yes,103191,1995-12-11 20:39:48.545738944,2024-07-27 03:02:48.811862239,105254.82
E000024,John,Obrien,Male,Texas,Austin,2018-04-04 22:51:13.344056480,Sales,Sales Representative,Bachelor's,Excellent,No,56218,1979-04-04 22:51:13.344056480,,60209.478
E000025,Jacob,Garcia,Female,California,Los Angeles,2022-04-26 00:29:50.900350912,Sales,Sales Manager,Bachelor's,Good,No,97309,1978-04-26 00:29:50.900350912,,102174.45
E000026,Mathew,Fleming,Male,California,San Diego,2015-04-22 16:32:07.354733742,HR,HR Assistant,Bachelor's,Satisfactory,No,48657,1983-04-22 16:32:07.354733742,,49630.14
E000027,Michael,Diaz,Male,California,San Diego,2015-04-29 13:47:08.507820636,Sales,Sales Manager,Bachelor's,Satisfactory,No,81278,1960-04-29 13:47:08.507820636,2017-02-22 02:00:03.972075284,87048.738
E000028,Jonathan,Dawson,Female,Texas,Dallas,2017-08-04 13:04:07.773153616,Sales,Sales Representative,Bachelor's,Good,No,69712,1974-08-04 13:04:07.773153616,,73197.6
E000029,Stephanie,Benitez,Male,California,San Francisco,2018-01-11 19:48:51.870048960,Sales,Sales Manager,Bachelor's,Satisfactory,Yes,97259,1962-01-11 19:48:51.870048960,,104164.38900000001
E000030,Lance,Guerrero,Male,Texas,Houston,2022-11-16 20:58:46.173138112,Sales,Sales Manager,Bachelor's,Good,No,98181,1972-11-16 20:58:46.173138112,,105151.851
E000031,April,Yates,Female,Florida,Orlando,2017-05-29 14:21:16.812303392,Engineering,Engineering Manager,Master's,Good,No,127105,1980-05-29 14:21:16.812303392,,139815.5
E000032,Allison,Wilson,Male,Florida,Orlando,2019-11-10 14:48:28.868447904,Sales,Sales Manager,Bachelor's,Needs Improvement,No,95023,1988-11-10 14:48:28.868447904,,96923.46
E000033,Andrew,Gibbs,Female,Texas,Austin,2018-11-10 06:04:23.618476304,Engineering,Engineering Manager,Master's,Satisfactory,No,138918,1965-11-10 06:04:23.618476304,,160450.29000000004
E000034,Joseph,Singleton,Female,California,San Diego,2015-07-28 19:56:55.667735440,HR,HR Assistant,Bachelor's,Satisfactory,No,53022,1980-07-28 19:56:55.667735440,,53022.0
E000035,Ann,Benjamin,Female,New York,Rochester,2022-12-19 13:50:43.448866944,HR,HR Assistant,Bachelor's,Satisfactory,No,58985,1983-12-19 13:50:43.448866944,,58985.0
E000036,Linda,Horton,Male,New York,Rochester,2015-08-17 20:19:30.905757456,Finance,Finance Manager,Master's,Satisfactory,Yes,118605,1972-08-17 20:19:30.905757456,,139728.55050000004
E000037,Joel,Russell,Female,New York,Rochester,2016-09-21 19:13:56.867426632,Sales,Sales Representative,Bachelor's,Good,No,59752,1990-09-21 19:13:56.867426632,,59752.0
E000038,Connor,Esparza,Male,Florida,Orlando,2018-01-24 06:36:45.158620512,Engineering,Engineering Manager,Master's,Good,No,122704,1981-01-24 06:36:45.158620512,,137673.888
E000039,Tyler,Weiss,Male,Texas,Austin,2018-03-18 02:09:02.487415600,Finance,Financial Analyst,Bachelor's,Satisfactory,No,77802,1961-03-18 02:09:02.487415600,2019-10-30 20:45:26.154363312,83325.94200000001
E000040,Emma,Mercado,Male,New York,Buffalo,2023-03-04 01:59:11.394408576,Finance,Financial Analyst,Bachelor's,Good,Yes,78318,1983-03-04 01:59:11.394408576,,79884.36
E000041,John,Hernandez,Female,California,San Francisco,2016-05-22 15:02:02.525997272,Finance,Finance Manager,Master's,Satisfactory,No,98014,1972-05-22 15:02:02.525997272,,113206.17000000001
E000042,Daniel,Johnson,Female,New York,Rochester,2015-10-30 12:45:43.499168720,HR,HR Assistant,Bachelor's,Satisfactory,No,53026,1961-10-30 12:45:43.499168720,,55677.3
E000043,Diana,Mcmahon,Male,California,San Francisco,2022-03-31 21:37:23.386845440,Finance,Financial Analyst,Bachelor's,Satisfactory,No,62998,1983-03-31 21:37:23.386845440,,64257.96
E000044,Brandon,White,Female,Florida,Tampa,2015-11-24 01:03:32.471188104,Finance,Financial Analyst,Bachelor's,Good,No,70520,1979-11-24 01:03:32.471188104,,74046.0
E000045,Dawn,Lee,Male,Florida,Orlando,2023-09-14 05:33:42.944651840,HR,HR Manager,Master's,Good,No,83385,1974-09-14 05:33:42.944651840,,98235.86850000001
E000046,Wendy,Schwartz,Female,New York,New York City,2022-06-26 15:32:35.372356096,Sales,Sales Associate,Associate's,Excellent,No,36558,1979-06-26 15:32:35.372356096,,38385.9
E000047,Katrina,Porter,Male,New York,New York City,2017-09-09 20:49:33.311029536,Engineering,Senior Software Engineer,Master's,Satisfactory,Yes,126013,1982-09-09 20:49:33.311029536,2023-02-07 06:22:55.594330848,141386.586
E000048,Janet,Smith,Female,Texas,Austin,2017-09-25 12:13:28.552887408,HR,HR Manager,Master's,Satisfactory,Yes,70615,1969-09-25 12:13:28.552887408,,81560.325
E000049,Gregory,Gonzalez,Male,Florida,Orlando,2021-09-18 01:18:03.562993376,HR,HR Manager,Master's,Excellent,No,73661,1986-09-18 01:18:03.562993376,,82647.642
E000050,Jacqueline,Hall,Female,Texas,Houston,2018-03-11 18:37:04.507169408,Engineering,Senior Software Engineer,Master's,Satisfactory,Yes,131918,1980-03-11 18:37:04.507169408,2022-09-18 02:55:16.560038576,145109.80000000002
E000051,Eric,Dickerson,Female,California,Los Angeles,2020-04-03 22:17:36.662531008,Sales,Sales Representative,Bachelor's,Good,No,53017,1982-04-03 22:17:36.662531008,,53017.0
E000052,Joshua,Vargas,Female,Florida,Miami,2019-08-28 04:37:42.498656384,Engineering,Software Engineer,Bachelor's,Satisfactory,No,106830,1974-08-28 04:37:42.498656384,,112171.5
E000053,Barry,Mckee,Male,New York,Rochester,2020-04-13 20:12:57.305542592,Engineering,Senior Software Engineer,Master's,Needs Improvement,No,113559,1975-04-13 20:12:57.305542592,,133783.85790000003
E000054,Aaron,Ward,Male,New York,New York City,2017-09-29 03:08:44.702548368,Engineering,Senior Software Engineer,Master's,Satisfactory,No,124610,1964-09-29 03:08:44.702548368,,146803.04100000003
E000055,Ryan,Jackson,Male,New York,Rochester,2020-11-29 14:57:07.732830368,HR,HR Specialist,Bachelor's,Excellent,Yes,55525,1982-11-29 14:57:07.732830368,,56635.5
E000056,Aimee,Adkins,Female,Florida,Miami,2020-11-04 14:51:41.194048288,Engineering,Senior Software Engineer,Master's,Satisfactory,No,132599,1991-11-04 14:51:41.194048288,,145858.90000000002
E000057,Willie,Coleman,Male,New York,Rochester,2022-12-17 19:56:10.909115232,HR,HR Assistant,Bachelor's,Satisfactory,Yes,56884,2000-12-17 19:56:10.909115232,,58021.68
E000058,Dennis,Lucero,Male,Texas,Austin,2023-04-06 12:54:57.640289056,Engineering,Software Engineer,Bachelor's,Excellent,No,83998,1970-04-06 12:54:57.640289056,2024-02-04 19:06:40.869319818,89961.85800000001
E000059,James,Rodriguez,Female,Florida,Orlando,2023-11-12 19:46:09.406716896,Engineering,Senior Software Engineer,Master's,Needs Improvement,No,134195,1975-11-12 19:46:09.406716896,,154995.225
E000060,Anthony,Richards,Male,New York,New York City,2019-04-28 06:38:17.961475456,Finance,Finance Manager,Master's,Satisfactory,No,119320,1961-04-28 06:38:17.961475456,,140570.89200000002
E000061,Nicholas,Brown,Female,New York,New York City,2015-02-20 04:19:30.621912780,Engineering,Software Engineer,Bachelor's,Good,Yes,105821,1971-02-20 04:19:30.621912780,,111112.05
E000062,Christina,Hill,Female,Florida,Tampa,2019-11-21 18:20:31.298154976,Engineering,Engineering Manager,Master's,Excellent,Yes,149710,1963-11-21 18:20:31.298154976,,172915.05000000002
E000063,Tracy,Warren,Female,Florida,Miami,2017-04-18 21:22:57.671425952,Engineering,Engineering Manager,Master's,Good,No,147585,1994-04-18 21:22:57.671425952,,162343.5
E000064,Roy,Rice,Male,New York,Buffalo,2021-01-24 06:07:41.291217024,HR,HR Manager,Master's,Satisfactory,No,82982,1980-01-24 06:07:41.291217024,,93105.804
E000065,Jennifer,Murray,Male,New York,Buffalo,2016-10-02 08:13:03.738016048,Sales,Sales Representative,Bachelor's,Excellent,Yes,60298,1960-10-02 08:13:03.738016048,,64579.158
E000066,Janet,Arnold,Male,Florida,Miami,2021-10-17 01:55:57.008078944,Engineering,Senior Software Engineer,Master's,Excellent,No,117719,1991-10-17 01:55:57.008078944,,132080.71800000002
E000067,Virginia,Beck,Female,New York,New York City,2021-05-22 18:48:15.195864096,Sales,Sales Associate,Associate's,Good,No,44709,1962-05-22 18:48:15.195864096,2024-01-22 00:46:33.461522208,46944.450000000004
E000068,Timothy,Marshall,Male,Florida,Tampa,2022-12-31 03:27:36.822252736,Engineering,Engineering Manager,Master's,Satisfactory,No,150208,1972-12-31 03:27:36.822252736,,176960.04480000003
E000069,Krystal,Morrison,Male,Texas,Dallas,2021-10-25 21:15:57.519927680,Finance,Finance Manager,Master's,Excellent,Yes,118365,1971-10-25 21:15:57.519927680,,139445.80650000004
E000070,Kelsey,Jones,Female,Florida,Orlando,2023-09-12 11:13:34.818394784,Engineering,Software Engineer,Bachelor's,Satisfactory,Yes,107594,1969-09-12 11:13:34.818394784,2024-07-01 06:44:48.190230738,112973.70000000001
E000071,Nicholas,Hart,Male,New York,Rochester,2015-06-30 10:52:08.760249414,Engineering,Software Engineer,Bachelor's,Good,Yes,91305,1963-06-30 10:52:08.760249414,,97787.65500000001
E000072,Arthur,Kramer,Male,Florida,Miami,2018-08-09 19:18:01.390740224,HR,HR Assistant,Bachelor's,Satisfactory,Yes,50255,1973-08-09 19:18:01.390740224,,53823.105
E000073,Lindsey,Hobbs,Female,California,San Diego,2017-07-16 13:10:54.804307280,HR,HR Specialist,Bachelor's,Satisfactory,No,57905,1982-07-16 13:10:54.804307280,,57905.0
E000074,Kristie,Wong,Female,Texas,Houston,2019-11-26 14:32:25.521897024,Finance,Accountant,Bachelor's,Satisfactory,No,69979,1996-11-26 14:32:25.521897024,,69979.0
E000075,Madison,Mack,Female,California,San Francisco,2018-11-06 16:14:43.679201856,HR,HR Specialist,Bachelor's,Good,No,52389,1966-11-06 16:14:43.679201856,,55008.450000000004
E000076,Phillip,Johnston,Male,Florida,Miami,2023-01-08 08:11:56.664727584,Finance,Financial Analyst,Bachelor's,Satisfactory,No,68495,1982-01-08 08:11:56.664727584,,69864.9
E000077,Amy,Sparks,Female,Florida,Tampa,2016-11-21 03:27:38.477569552,Finance,Finance Manager,Master's,Good,Yes,97153,1990-11-21 03:27:38.477569552,,106868.3
E000078,Robert,Walker,Female,New York,New York City,2023-03-17 03:50:14.894094176,Engineering,Engineering Manager,Master's,Excellent,No,147294,1980-03-17 03:50:14.894094176,2024-07-26 10:05:01.410740912,162023.40000000002
E000079,Mary,Williams,Female,New York,Buffalo,2017-06-16 01:10:07.724777056,Engineering,Engineering Manager,Master's,Needs Improvement,No,145099,1994-06-16 01:10:07.724777056,,159608.90000000002
E000080,Mandy,Lambert,Male,California,San Francisco,2018-04-24 02:06:43.805372112,Finance,Accountant,Bachelor's,Good,Yes,51035,1979-04-24 02:06:43.805372112,,54658.48500000001
E000081,Kimberly,Gregory,Male,New York,New York City,2023-10-09 08:46:25.464329696,Finance,Finance Manager,Master's,Excellent,Yes,115787,1967-10-09 08:46:25.464329696,2024-07-11 17:34:49.267660642,136408.66470000002
E000082,Nancy,Robinson,Female,New York,Buffalo,2018-07-11 22:17:54.179148224,HR,HR Specialist,Bachelor's,Satisfactory,No,58973,1971-07-11 22:17:54.179148224,,61921.65
E000083,Michael,Dillon,Male,Florida,Tampa,2019-02-06 21:27:14.708316816,Finance,Accountant,Bachelor's,Satisfactory,Yes,64375,1996-02-06 21:27:14.708316816,,65662.5
E000084,Randy,Barrera,Male,Florida,Tampa,2017-04-22 17:04:06.657983504,HR,HR Manager,Master's,Satisfactory,Yes,83307,1971-04-22 17:04:06.657983504,2023-05-20 15:54:42.689990992,98143.97670000001
E000085,Juan,Snyder,Female,Florida,Orlando,2023-07-15 10:23:52.015860192,HR,HR Specialist,Bachelor's,Needs Improvement,No,62785,1965-07-15 10:23:52.015860192,,65924.25
E000086,Mark,Banks,Female,Texas,Houston,2018-03-28 11:49:01.946874832,Sales,Sales Associate,Associate's,Good,No,47317,1995-03-28 11:49:01.946874832,,47317.0
E000087,Shelly,Kirk,Female,Florida,Tampa,2018-12-27 22:07:17.379854960,HR,HR Specialist,Bachelor's,Satisfactory,Yes,51642,1989-12-27 22:07:17.379854960,,51642.0
E000088,Megan,Butler,Male,Texas,Dallas,2015-11-16 23:01:53.849878456,Finance,Accountant,Bachelor's,Needs Improvement,Yes,61827,1957-11-16 23:01:53.849878456,,66216.717
E000089,Kevin,Snyder,Male,Texas,Houston,2016-06-05 19:13:39.584717072,Engineering,Software Engineer,Bachelor's,Good,No,108585,1974-06-05 19:13:39.584717072,,116294.535
E000090,Nancy,Logan,Male,New York,New York City,2015-12-09 02:26:19.133559692,Engineering,Engineering Manager,Master's,Good,No,148289,1969-12-09 02:26:19.133559692,,174699.2709
E000091,Tonya,Colon,Male,New York,Buffalo,2021-10-02 05:58:06.494249824,Engineering,Software Engineer,Bachelor's,Satisfactory,No,93345,1996-10-02 05:58:06.494249824,,95211.90000000001
E000092,Christine,Duncan,Male,California,Los Angeles,2020-07-23 13:54:20.098789888,HR,HR Specialist,Bachelor's,Good,No,52952,1978-07-23 13:54:20.098789888,,56711.592000000004
E000093,Heather,Hahn,Male,Texas,Houston,2015-12-09 20:43:53.065113956,Finance,Financial Analyst,Bachelor's,Good,No,60811,1973-12-09 20:43:53.065113956,,65128.581000000006
E000094,Tyler,Park,Female,Texas,Austin,2022-02-19 13:16:33.708848512,HR,HR Manager,Master's,Good,No,84322,1976-02-19 13:16:33.708848512,,97391.91000000002
E000095,Margaret,Humphrey,Female,New York,Buffalo,2023-02-28 15:08:21.820470784,HR,HR Manager,Master's,Excellent,No,76564,2001-02-28 15:08:21.820470784,,84220.40000000001
E000096,Gabriel,Stanley,Male,New York,Buffalo,2020-12-30 21:19:49.765621216,Engineering,Senior Software Engineer,Master's,Good,No,125658,1981-12-30 21:19:49.765621216,,140988.276
E000097,April,Montgomery,Female,New York,Buffalo,2022-09-08 21:33:57.631615136,Sales,Sales Associate,Associate's,Satisfactory,No,47321,1993-09-08 21:33:57.631615136,,47321.0
E000098,Scott,Perez,Male,New York,Rochester,2023-03-20 03:45:59.988594272,Sales,Sales Associate,Associate's,Excellent,No,44652,1980-03-20 03:45:59.988594272,,45545.04
E000099,Jimmy,Solomon,Female,New York,Rochester,2018-07-16 17:31:46.762308240,Finance,Accountant,Bachelor's,Satisfactory,Yes,61764,1959-07-16 17:31:46.762308240,,64852.200000000004
E000100,James,Rodriguez,Male,Texas,Houston,2023-02-07 13:17:35.896903360,Sales,Sales Associate,Associate's,Satisfactory,No,39716,1990-02-07 13:17:35.896903360,,40510.32
E000101,Michelle,Chang,Male,New York,New York City,2017-11-05 17:13:14.922770000,Finance,Finance Manager,Master's,Excellent,No,90954,1962-11-05 17:13:14.922770000,,107152.90740000001
E000102,Cody,Johnson,Female,California,San Diego,2022-09-21 01:05:47.087408480,Finance,Finance Manager,Master's,Good,No,104071,1989-09-21 01:05:47.087408480,2024-04-27 04:23:26.534164756,114478.1
E000103,Tanner,Wilson,Male,Texas,Houston,2016-04-06 20:23:18.782619120,Sales,Sales Associate,Associate's,Good,Yes,42426,1968-04-06 20:23:18.782619120,,45438.24600000001
E000104,Tammy,Bryant,Female,California,San Diego,2015-04-12 02:03:58.772749916,Sales,Sales Associate,Associate's,Good,Yes,46078,1962-04-12 02:03:58.772749916,,48381.9
E000105,Stephanie,Russell,Male,Texas,Austin,2017-03-14 22:29:45.867526312,Sales,Sales Manager,Bachelor's,Needs Improvement,No,73197,1994-03-14 22:29:45.867526312,,74660.94
E000106,Amy,Snyder,Female,Texas,Houston,2015-03-24 09:13:56.310924115,HR,HR Specialist,Bachelor's,Satisfactory,No,56652,1981-03-24 09:13:56.310924115,,56652.0
E000107,Jessica,Mckee,Female,New York,Rochester,2017-04-07 23:29:23.837526416,Engineering,Software Engineer,Bachelor's,Satisfactory,No,82935,1994-04-07 23:29:23.837526416,2021-06-08 21:01:25.160560800,82935.0
E000108,Lisa,Davis,Male,New York,Buffalo,2017-10-19 08:42:50.265282080,Sales,Sales Manager,Bachelor's,Good,No,89798,1981-10-19 08:42:50.265282080,,91593.96
E000109,Justin,Davis,Female,Florida,Orlando,2022-04-17 01:29:18.388860992,Engineering,Engineering Manager,Master's,Satisfactory,Yes,122767,1985-04-17 01:29:18.388860992,,135043.7
E000110,Kristine,Reyes,Female,California,San Francisco,2015-04-17 15:41:55.250705436,Engineering,Senior Software Engineer,Master's,Excellent,No,100263,1988-04-17 15:41:55.250705436,2023-06-11 22:33:23.175553148,110289.3
E000111,Jacob,Young,Male,California,Los Angeles,2022-12-21 12:13:22.778150848,HR,HR Assistant,Bachelor's,Satisfactory,No,43960,1989-12-21 12:13:22.778150848,,44839.200000000004
E000112,Barbara,Nichols,Female,California,San Diego,2015-07-08 18:22:23.116979846,Sales,Sales Manager,Bachelor's,Satisfactory,No,78492,1961-07-08 18:22:23.116979846,,82416.6
E000113,Jeremy,Neal,Male,California,Los Angeles,2020-01-11 00:30:37.679230560,HR,HR Manager,Master's,Excellent,No,85251,1998-01-11 00:30:37.679230560,,95651.62200000002
E000114,Nicholas,Ruiz,Male,California,San Diego,2018-05-15 09:13:32.342299344,Finance,Financial Analyst,Bachelor's,Excellent,No,71837,1985-05-15 09:13:32.342299344,,73273.74
E000115,Grant,Smith,Female,Texas,Dallas,2018-02-10 08:39:02.717735760,Engineering,Senior Software Engineer,Master's,Satisfactory,No,122435,1969-02-10 08:39:02.717735760,,141412.42500000002
E000116,Jeffrey,Taylor,Male,Florida,Tampa,2016-11-22 00:42:42.904510112,HR,HR Assistant,Bachelor's,Excellent,No,45779,1975-11-22 00:42:42.904510112,2020-10-04 02:08:57.403379920,49029.309
E000117,Emily,Lin,Female,California,San Francisco,2016-11-01 06:44:44.220954616,HR,HR Assistant,Bachelor's,Good,Yes,57867,1974-11-01 06:44:44.220954616,,60760.350000000006
E000118,Holly,Ramirez,Female,Texas,Austin,2018-12-01 20:58:46.466858000,Sales,Sales Manager,Bachelor's,Excellent,Yes,92520,1962-12-01 20:58:46.466858000,,97146.0
E000119,Erin,Garcia,Female,California,Los Angeles,2020-12-10 22:35:35.112180224,Sales,Sales Representative,Bachelor's,Satisfactory,No,64254,1990-12-10 22:35:35.112180224,,64254.0
E000120,Grace,Garcia,Male,Texas,Houston,2015-07-07 16:10:42.159346856,HR,HR Assistant,Bachelor's,Excellent,No,42591,1985-07-07 16:10:42.159346856,,43442.82
E000121,Jason,Hendrix,Male,California,San Francisco,2016-10-09 19:45:42.940181416,Finance,Accountant,Bachelor's,Good,No,67133,1973-10-09 19:45:42.940181416,,71899.44300000001
E000122,Ashley,Garcia,Female,Florida,Tampa,2017-11-12 22:44:41.093318928,Sales,Sales Representative,Bachelor's,Satisfactory,No,56268,1974-11-12 22:44:41.093318928,,59081.4
E000123,Deborah,Burns,Female,Florida,Orlando,2020-11-04 23:39:31.770743712,Finance,Finance Manager,Master's,Excellent,Yes,109541,1966-11-04 23:39:31.770743712,,126519.85500000001
E000124,Christopher,Richardson,Female,California,Los Angeles,2023-01-01 06:06:11.806907680,Sales,Sales Associate,Associate's,Good,No,36974,1993-01-01 06:06:11.806907680,,36974.0
E000125,James,Reeves,Male,Texas,Dallas,2023-06-12 07:06:01.360776256,Finance,Accountant,Bachelor's,Good,No,66467,1978-06-12 07:06:01.360776256,,71186.157
E000126,Eric,Norman,Male,Florida,Tampa,2019-10-29 01:17:41.608214464,Finance,Accountant,Bachelor's,Satisfactory,No,55542,1978-10-29 01:17:41.608214464,2023-05-14 10:16:09.497338352,59485.482
E000127,Rebecca,Wilkinson,Female,New York,New York City,2018-06-20 10:31:41.350809744,Sales,Sales Associate,Associate's,Good,No,41326,1986-06-20 10:31:41.350809744,,41326.0
E000128,Jeremy,Guzman,Female,Texas,Houston,2018-03-27 09:44:18.988146032,Sales,Sales Manager,Bachelor's,Good,No,84889,1969-03-27 09:44:18.988146032,,89133.45
E000129,Jeffrey,Austin,Female,Texas,Dallas,2015-01-31 07:16:22.609124184,HR,HR Specialist,Bachelor's,Good,Yes,66779,1967-01-31 07:16:22.609124184,,70117.95
E000130,Beth,Brown,Female,New York,Rochester,2016-03-16 02:25:04.661402664,Sales,Sales Manager,Bachelor's,Excellent,No,83789,1958-03-16 02:25:04.661402664,2024-01-30 04:32:01.696438472,87978.45
E000131,Robert,Delgado,Female,Florida,Tampa,2017-10-18 06:58:22.003619488,Engineering,Senior Software Engineer,Master's,Satisfactory,Yes,122940,1978-10-18 06:58:22.003619488,,141995.7
E000132,Christine,Patterson,Male,Florida,Miami,2015-06-13 12:21:33.914956572,Engineering,Software Engineer,Bachelor's,Needs Improvement,Yes,107667,1959-06-13 12:21:33.914956572,,115311.357
E000133,Loretta,Ewing,Male,New York,New York City,2023-11-04 05:58:50.638088480,Engineering,Software Engineer,Bachelor's,Satisfactory,Yes,84792,1971-11-04 05:58:50.638088480,2024-07-13 01:55:57.203666560,90812.232
E000134,Kristina,King,Male,Florida,Orlando,2021-11-26 09:34:13.787197920,Engineering,Software Engineer,Bachelor's,Satisfactory,No,100548,1976-11-26 09:34:13.787197920,,107686.90800000001
E000135,Alexandria,Juarez,Female,Texas,Austin,2023-12-27 04:59:51.590129440,HR,HR Specialist,Bachelor's,Excellent,No,52641,1998-12-27 04:59:51.590129440,,52641.0
E000136,Debra,Hernandez,Female,California,San Francisco,2016-09-13 19:15:50.481619504,Finance,Finance Manager,Master's,Good,No,101584,1977-09-13 19:15:50.481619504,,117329.52000000002
E000137,Gregory,Mann,Male,California,San Francisco,2023-03-24 00:32:27.307532416,HR,HR Manager,Master's,Satisfactory,No,86682,1963-03-24 00:32:27.307532416,,102120.06420000002
E000138,Corey,Evans,Female,Texas,Houston,2020-01-18 03:06:58.023184896,Finance,Financial Analyst,Bachelor's,Excellent,No,61535,1966-01-18 03:06:58.023184896,2021-10-28 02:40:58.666024816,64611.75
E000139,Matthew,Doyle,Male,Texas,Houston,2020-05-28 17:01:28.164556096,HR,HR Specialist,Bachelor's,Excellent,No,58670,1962-05-28 17:01:28.164556096,2024-06-27 15:39:43.412162640,62835.57000000001
E000140,Kari,Estes,Female,New York,Rochester,2023-01-05 00:15:41.903335904,HR,HR Manager,Master's,Good,No,70531,1974-01-05 00:15:41.903335904,,81463.30500000001
E000141,Amy,Gray,Male,California,Los Angeles,2015-06-28 21:52:55.844197030,Engineering,Senior Software Engineer,Master's,Satisfactory,Yes,120741,1967-06-28 21:52:55.844197030,,142244.97210000004
E000142,Darryl,James,Male,California,San Diego,2021-08-30 08:06:21.968103008,Sales,Sales Manager,Bachelor's,Good,No,85483,1975-08-30 08:06:21.968103008,,91552.293
E000143,Jacob,Thomas,Female,New York,New York City,2022-05-28 05:16:56.662387360,Sales,Sales Manager,Bachelor's,Satisfactory,No,81747,1987-05-28 05:16:56.662387360,,81747.0
